# TESS Program G08009

Title: A Magnitude Limited Sample Of M Dwarfs To Constrain The Super-Earth Rate Across The Fully Convective Boundary

PI: Theissen, Christopher - University Of California (San Diego)

Type: SMALL

Summary: Recent pebble accretion models have estimated that the occurrence of Earth/super-Earth planets (1-4 Rearth) peaks around stars with masses 50% the mass of the Sun, and decreases for smaller stars, citing TRAPPIST-1 and Teegarden's Star as rare systems. We propose 20-second and 2-minute cadence observations for a magnitude-limited (Tmag < 13) sample of stars with masses between 10%-30% the mass of the Sun, which will mitigate issues with pointing jitter in FFIs. We discuss that higher cadence observations of the brightest very-low-mass stars will add an additional 3-6 planets in Cycle 8, doubling the yield expected from FFI frames. This magnitude-limited sample, which was systematically built, will provide stronger constraints on the planet occurrence rate for the lowest-mass stars.


# Sector 097 targets observed (2 min: 71, 20 s: 2)
28117051,23.8396,-22.2443,12.64,G08009
439501591,22.6811,-19.4867,12.51,G08009
289730802,36.4621,-14.543,12.52,G08046;G08009;G08158;G08137
302498974,34.4841,-13.4532,12.77,G08009;G08158
35120010,35.576,-13.1848,11.4,G08009
66606212,38.3144,-14.6091,12.22,G08009;G08158
92982944,27.9259,-15.2887,12.47,G08009
92994182,28.5338,-15.6083,11.52,G08009;G08158
111267570,30.7016,-40.9473,12.06,G08009
111289424,31.2824,-39.098,12.73,G08046;G08009
115276426,26.2311,-39.6972,12.15,G08009
115347396,27.557,-37.6984,11.77,G08046;G08009;G08137
129740457,35.2363,-37.4388,12.49,G08009;G08158
129766762,35.7061,-36.7516,12.22,G08046;G08009
49593799,37.0363,-36.4725,11.39,G08009;G08158
49594649,37.3153,-41.2885,12.83,G08009
7220124,32.1804,-42.2417,12.05,G08009
7222629,32.7397,-42.7798,11.84,G08009
122669635,41.9608,-34.4433,11.78,G08009
142852373,50.4026,-31.4477,12.75,G08009;20SECONDTARGET
142874534,51.2688,-34.8401,12.83,G08009
142938846,52.5751,-34.0431,12.14,G08009
142960439,53.4513,-34.9936,12.88,G08009
144480615,49.2846,-29.4073,12.7,G08009
176852837,49.7367,-34.5549,12.61,G08009
88466267,46.8681,-27.5323,12.18,G08009
88478720,46.9698,-28.2369,10.8,G08009
88532457,48.4257,-29.5469,12.9,G08033;G08009;G08137
139471702,35.6603,-26.9561,12.39,G08009
139485218,36.0371,-24.5708,12.83,G08009;G08158
266816160,30.9084,-23.1717,11.53,G08009
268769168,32.3659,-20.1549,12.42,G08009
279370312,35.8483,-23.3087,11.53,G08009;G08158
63974991,36.8745,-19.1293,10.76,G08009
64034196,37.9306,-18.1847,12.43,G08009
65516102,43.2057,-25.6374,12.39,G08046;G08009
72750190,34.8003,-26.3905,12.14,G08009
11613069,20.5409,-26.908,12.84,G08009
11637549,21.0089,-29.5487,12.75,G08009
123368775,31.7785,-30.4074,11.66,G08009
140478472,21.129,-33.9181,12.4,G08033;G08009;G08158;G08137;20SECONDTARGET
32396533,26.0579,-32.1608,12.9,G08009
32432955,27.4314,-33.3215,12.76,G08009;G08158
32452177,27.7722,-30.9636,12.66,G08009
33525681,26.9986,-27.7056,12.78,G08009
344369070,22.5619,-29.8222,12.66,G08009;G08137
70503780,32.385,-29.5946,12.86,G08009
391454774,53.2298,-38.1042,12.88,G08009
401871652,51.9844,-45.9889,12.94,G08009
142216895,38.72,-46.9395,11.96,G08009;G08158
166739901,36.714,-52.3109,12.82,G08009
201793372,34.5803,-55.1244,11.07,G08009
201794022,34.7661,-56.1729,12.92,G08009
201860785,37.9301,-54.5415,11.46,G08009;G08158
231290860,44.3502,-48.8448,12.2,G08009
201862459,38.1749,-58.707,12.56,G08009
201937967,41.7714,-59.209,12.54,G08009
220524851,42.712,-60.3759,11.81,G08009
237915132,56.1381,-62.6217,11.88,G08009
219235216,64.1046,-50.5672,12.77,G08009
220391763,68.2417,-57.6959,11.63,G08009;G08137;G08158
259373187,68.1273,-48.3194,11.59,G08009
149423103,84.4177,-61.9086,11.88,G08009;G08158
219376911,76.4637,-53.4756,11.91,G08009
25081729,61.2299,-68.537,11.9,G08009
30471172,75.0248,-66.6611,11.79,G08009
141029712,79.2928,-77.1011,11.54,G08009
176955267,100.9244,-69.4824,11.36,G08009;G08158
177385959,104.3068,-72.7254,11.48,G08009
287350461,122.0707,-73.029,11.55,G08009;G08158
294093302,107.4113,-57.0593,10.85,G08009

# Sector 098 targets observed (2 min: 2, 20 s: 0)
612870,72.6371,-24.2225,12.87,G08046;G08009;G08158;G08137
14230586,78.7845,-38.6003,12.55,G08046;G08009

# Sector 099 targets observed (2 min: 22, 20 s: 1)
434430376,139.342,-18.4215,12.7,G08009
293605269,149.6469,-14.7502,12.4,G08009
296728898,142.0306,-12.5366,12.84,G08009
332705803,150.2019,-12.5059,12.02,G08009
396823875,148.1732,-15.6048,10.91,G08009
47176598,145.5528,-7.0324,11.36,G08009
96033608,146.3259,-9.6739,12.76,G08009;G08158
262722802,138.343,3.6779,11.72,G08009
275126535,142.1073,0.2451,12.58,G08009
280797976,137.1921,-5.1252,12.92,G08009
290474796,139.0428,1.8851,10.41,G08009;G08158;20SECONDTARGET
293842781,141.4012,-1.9327,11.16,G08009
293843386,141.5423,-0.1298,12.38,G08009
77478617,141.6794,-3.7704,12.28,G08009
77551544,142.338,-4.1729,12.78,G08009
13628994,133.1506,-6.7408,12.87,G08009
7906972,133.3793,-5.0441,11.81,G08009
54147357,160.5651,-33.4389,12.87,G08009
415643181,147.6202,-19.1443,12.94,G08009
418082219,145.9152,-19.7615,11.46,G08009
