# TESS Program G08085

Title: TESS Photometry Of A Sample Of Sb2 Eclipsing Binaries

PI: Helminiak, Krzysztof - Copernicus Astronomical Center

Type: MINI

Summary: We intend to obtain very high precision light curves of a sample of detached eclipsing and double-lined spectroscopic (SB2) binaries, which have a large number of new and unpublished high-resolution spectra (from our own observations). In total, there are over 380 stars in the program, of which 109 were selected for TESS in Cycle 8. The light curves will be combined with the precise radial velocity (RV) measurements in order to obtain accurate and precise, absolute stellar parameters.


# Sector 097 targets observed (2 min: 9, 20 s: 0)
404477044,37.4491,-13.2479,8.02,G08085
66572840,37.6624,-12.8983,10.04,G08085;G08158
3816260,10.1351,-6.481,10.1,G08085
175533160,46.018,-38.7908,9.9,G08085;G08137
215258019,42.4424,-38.4277,10.34,G08085;G08158
257395987,34.8436,-18.0752,9.48,G08085
401889117,52.2431,-42.2606,9.77,G08085;G08137
198011271,60.6549,-55.0408,11.03,G08085;G08158
167692429,102.7161,-63.431,10.51,G08085

# Sector 098 targets observed (2 min: 17, 20 s: 0)
250195155,65.1705,-1.7402,8.06,G08085
37817410,65.4181,-6.0195,9.29,G08085
9380768,73.2685,-7.0067,10.51,G08085;G08158
427398881,83.9438,-2.3741,7.41,G08085
50528312,81.9305,-3.9953,8.82,G08085
144695651,84.944,8.1841,10.57,G08085
156241056,86.4128,11.3266,9.57,G08085
121568625,69.3542,-21.6456,9.25,G08085
178858648,66.8505,-27.9354,9.45,G08085
153166843,89.6218,-27.8221,10.36,G08085
31303242,82.8069,-27.1512,10.14,G08085
33419790,87.4027,-21.2397,9.49,G08085
201432628,92.5687,-33.3558,8.39,G08085
200297691,72.5899,-45.7803,9.02,G08085;G08158
200363295,77.0677,-44.8171,8.93,G08085;G08119;G08158
231822771,86.4549,-48.0391,10.96,G08085;G08158
167692429,102.7161,-63.431,10.51,G08085

# Sector 099 targets observed (2 min: 24, 20 s: 0)
347506869,133.4092,-13.6547,11.11,G08085
386431674,127.9575,-15.4833,10.71,G08085
409797166,126.4636,-16.3797,8.94,G08085;G08096
415528958,131.3942,-21.967,11.62,G08085
142742998,137.7927,-4.2702,9.65,G08085
60979860,140.3446,-6.6717,7.94,G08085
73386477,154.5508,-36.8052,9.47,G08085
408351795,145.0483,-19.5218,10.62,G08085
434479378,156.1531,-19.0926,7.63,G08085
189443737,142.9827,-26.9458,9.51,G08085
2020964,133.4586,-25.0843,8.29,G08085
294930324,169.7194,-66.174,11.22,G08085
306756493,167.0555,-55.9226,9.4,G08085
318825030,173.3334,-60.4328,10.99,G08085
333127661,181.1396,-52.6941,9.07,G08085
1030035125,205.8646,-60.5282,10.99,G08085
166882964,192.9009,-51.3087,9.82,G08085;G08119
262126225,199.6835,-58.267,8.0,G08085
411685204,189.3197,-56.7882,8.73,G08085
425644107,232.3203,-72.513,9.28,G08085
313907706,225.4359,-52.7031,9.05,G08085
35542651,224.847,-59.395,10.85,G08085
388483448,217.3855,-60.2434,10.22,G08085
408750249,213.5188,-56.0634,8.31,G08085
