TICID,RA,Dec,Tmag,Keywords
176722720,88.0324,-5.4168,13.46,G07025
234712743,96.9433,1.803,16.2,G07025
251264995,95.6856,-0.3457,16.68,G07025
39580395,89.5245,-0.1877,17.83,G07025;G07092
43151018,97.4745,-3.5857,13.27,G07025
712460228,98.2547,3.0594,18.21,G07025
120674276,102.4622,-7.6281,16.55,G07025
120746370,102.4132,-6.0014,14.18,G07025
293134045,107.8906,0.8685,12.98,G07025;G07167
33366214,106.0201,-3.8474,9.53,G07025
36552453,102.3659,-4.2308,11.95,G07025
754509198,109.0879,-3.224,18.92,G07025
758538006,100.6791,2.3353,18.66,G07025
425144137,105.8218,10.309,14.55,G07025;G07167
760988167,108.6449,8.8014,18.45,G07025
220291664,100.0317,9.3364,13.07,G07025
281530873,99.3446,5.6996,16.21,G07025
307947810,99.4167,13.9551,17.04,G07025
393086877,99.9108,5.898,16.15,G07025
434389111,93.8289,15.5164,17.2,G07025
714094015,88.9281,7.5672,15.53,G07025
714993212,94.2807,9.1371,18.39,G07025
716709606,92.2562,14.1023,18.67,G07025
37737816,93.5618,-25.0767,16.78,G07025
48621773,96.7478,-24.9211,17.1,G07025
49614493,95.4614,-29.145,15.79,G07025;20SECONDTARGET
49707471,95.9167,-26.964,12.5,G07025;20SECONDTARGET
705850776,97.0559,-29.6195,18.05,G07025
706000659,93.8695,-28.4728,17.43,G07025;20SECONDTARGET
706060061,97.5095,-27.8362,19.33,G07025
706123068,93.7155,-27.4264,18.87,G07025
706295854,87.0444,-29.1694,18.64,G07025
706305142,86.1959,-28.3377,18.56,G07025
706457525,90.1387,-27.1553,19.32,G07025
706688289,85.37,-25.4542,17.42,G07025
707208969,97.0336,-22.2453,15.85,G07025;20SECONDTARGET
172364794,99.8125,-25.2328,17.32,G07025
743819583,101.387,-28.5421,15.62,G07025;20SECONDTARGET
80923771,106.021,-23.7596,15.87,G07025
81737290,107.1142,-21.0698,15.28,G07025;20SECONDTARGET
142523214,103.1966,-14.3571,16.61,G07025
148885238,107.0692,-12.7624,18.28,G07025
322897154,101.3207,-15.5848,14.08,G07025;20SECONDTARGET
35635120,102.2151,-16.3012,11.4,G07025
707562073,97.5362,-18.3292,18.48,G07025
708555420,86.804,-17.7098,18.18,G07025
95056949,90.5199,-12.3308,17.19,G07025
148130680,100.7833,-40.5026,16.25,G07025
148317275,101.5428,-41.071,16.98,G07025
157451427,106.4271,-38.2442,15.72,G07025;20SECONDTARGET
22641187,108.1371,-36.094,15.63,G07025;G07167
771344775,102.8688,-41.1551,19.06,G07025
100509149,85.8365,-34.8879,17.39,G07025;G07145
117665257,95.8397,-35.6817,16.23,G07025
124920928,95.2242,-32.7788,16.9,G07025;20SECONDTARGET
140284119,85.3285,-35.4042,17.08,G07025;G07145
201433128,92.5246,-34.1012,14.86,G07025
267195653,93.5584,-41.0226,17.49,G07025
393320233,93.8684,-41.3353,13.16,G07025;20SECONDTARGET
705517724,85.8897,-35.2927,18.06,G07025;G07145
734879116,87.385,-42.2672,18.42,G07025;G07145;G07145
734915451,88.199,-39.9144,20.1,G07025
738231112,94.3974,-38.7782,18.13,G07025
738244230,95.6524,-38.5618,18.91,G07025
219203188,92.6403,-48.7403,13.01,G07025
219427639,80.3076,-52.0498,15.94,G07025
238914789,93.9946,-51.9066,14.87,G07025
270674067,87.4391,-49.3656,16.83,G07025
453855004,82.8986,-46.4013,15.58,G07025
685206943,78.6066,-52.8978,19.37,G07025
737679488,90.2717,-51.4367,18.45,G07025
238069203,104.3903,-53.5728,14.19,G07025;20SECONDTARGET
238092782,105.2368,-51.0771,17.74,G07025
255594396,96.9628,-53.7548,17.27,G07025;G07036
255638398,98.2048,-52.5404,16.04,G07025
255756592,99.5819,-48.9877,17.73,G07025;G07145
260656374,98.0639,-54.7152,17.74,G07025
319433337,100.1535,-52.7016,16.92,G07025
150437932,97.6132,-65.4971,14.5,G07025;G07036
177079275,103.2988,-67.6118,15.07,G07025;G07036;G07145
177118939,104.1638,-67.0379,17.48,G07025;G07036
177165621,104.3591,-67.3261,16.97,G07025
293271581,98.9003,-62.6401,12.47,G07025;G07036;G07167
340178526,113.7623,-56.697,13.2,G07025
349408306,110.4262,-64.0141,15.85,G07025;G07036;20SECONDTARGET
349572491,111.7662,-63.3312,14.82,G07025;G07036;20SECONDTARGET
364327739,101.8265,-64.6191,16.03,G07025;G07145
737283511,99.7463,-60.2736,18.87,G07025
737490894,98.1154,-56.648,19.25,G07025
765372300,106.2053,-64.6154,18.34,G07025
765411459,102.0852,-63.6465,18.74,G07025
766370593,114.8015,-56.6762,18.55,G07025
260042074,91.4072,-57.095,18.78,G07025
350765919,89.3022,-59.5904,14.18,G07025;G07036;G07167
382256692,82.3691,-58.9128,14.14,G07025;G07036;G07167
685239653,70.9532,-59.8184,17.97,G07025
737365140,93.0921,-59.747,19.83,G07025
358154354,70.4199,-76.6126,16.48,G07025;G07036
40274375,77.106,-68.4395,13.35,G07025;G07036
471013553,85.8925,-68.3728,15.8,G07025;G07036
683889205,71.7233,-67.3993,18.06,G07025
731307938,86.5622,-68.59,18.56,G07025
272551828,121.865,-76.5333,15.45,G07025
287354013,122.6023,-74.8718,18.08,G07025
287636631,125.2759,-72.3366,16.55,G07025;G07036;G07145
306893753,122.1579,-69.7872,15.96,G07025
764862517,103.2957,-71.7874,19.26,G07025
764954714,105.8019,-69.6388,18.53,G07025
805783607,123.106,-71.2436,17.25,G07025
