TICID,RA,Dec,Tmag,Keywords
399702475,20.5001,0.7508,13.77,G08140;G08041;G08158;20SECONDTARGET
399731211,21.1063,1.7049,12.38,G08140;G08158;20SECONDTARGET
333605244,12.7737,-1.1959,11.55,G08140;20SECONDTARGET
122617317,41.6861,-31.1791,10.72,G08140;G08137;20SECONDTARGET
91555165,43.8855,-34.9783,10.38,G08140;G08137
100990000,54.8193,-42.7633,7.76,G08140;20SECONDTARGET
153065527,49.2628,-42.2453,11.28,G08140;G08041;G08047;G08047;20SECONDTARGET
279741379,51.7525,-63.5009,6.99,G08140;20SECONDTARGET
38460940,61.1375,-62.9904,13.1,G08140
425997655,55.4584,-62.7674,8.75,G08041;G08140;G08158;20SECONDTARGET
259377017,68.4165,-51.9582,10.5,G08149;G08041;G08140;20SECONDTARGET
150030205,90.9847,-60.6663,9.11,G08140;20SECONDTARGET
260004324,91.0934,-55.3106,10.14,G08042;G08042;G08140;20SECONDTARGET
350618622,87.4018,-54.9102,8.58,G08140;20SECONDTARGET
55650590,73.7389,-62.5216,12.43,G08140;20SECONDTARGET
29781207,65.1083,-68.3604,12.38,G08140
32090583,58.4231,-68.7381,13.33,G08140;G08158;20SECONDTARGET
141186075,81.3263,-75.6946,6.64,G08140;20SECONDTARGET
141527965,87.7153,-75.6883,11.55,G08140
142019343,97.2278,-73.3264,9.63,G08140
167303382,97.9853,-68.7131,7.52,G08140;20SECONDTARGET
167415965,99.4574,-70.9305,8.01,G08140;20SECONDTARGET
177077336,103.2429,-70.6413,10.07,G08140;G08143
177254988,101.5958,-75.444,12.38,G08140
177258735,102.2202,-73.299,7.54,G08140;20SECONDTARGET
300710077,115.2714,-71.3033,11.98,G08041;G08140
300812741,116.9732,-71.0021,10.05,G08140
150428135,97.095,-65.5782,10.91,G08149;G08041;G08140;20SECONDTARGET
167600516,102.0212,-65.6246,10.69,G08042;G08140
260708537,98.4527,-58.5228,9.37,G08140;G08047
364393429,116.5931,-64.0555,9.24,G08140
