TICID,RA,Dec,Tmag,Keywords
419014110,16.3564,-17.6018,16.33,G08036
610173223,18.6858,-20.5365,19.8,G08036
610181807,19.2674,-17.9395,17.92,G08036
629976909,22.2394,-16.7456,20.01,G08036
630025862,23.0116,-10.7327,20.17,G08036
408156736,35.0441,-12.8706,19.01,G08036;G08002;G08062
630032367,27.5883,-12.7403,18.69,G08036;G08079
630037243,27.2631,-12.645,19.82,G08036
630044604,28.217,-10.4487,20.24,G08036
630055847,30.2178,-9.4088,17.14,G08036
632531930,33.4357,-15.0611,19.03,G08036;G08062
632540612,35.197,-14.8066,18.79,G08036
632605959,36.5173,-7.9224,18.76,G08036
92984390,28.158,-17.3281,17.02,G08036
250416977,31.6636,-2.0619,14.27,G08036
422631972,28.7206,1.1814,15.17,G08036
422651186,28.9312,0.4687,17.42,G08036
630079363,25.1703,-8.386,18.49,G08036
630288777,27.8244,-2.3884,19.82,G08036
630345209,28.8123,3.206,18.9,G08036
630446401,25.5145,3.2004,18.81,G08036;G08002;G08062
248385930,19.0286,-4.495,15.89,G08036
610596508,16.7844,-9.86,19.62,G08036
610630210,16.4932,-8.9105,18.62,G08036
610739948,16.0485,-3.2284,19.18,G08036
630103182,21.6116,-9.4573,19.2,G08036
49594819,37.321,-39.9838,13.33,G08036;G08036;20SECONDTARGET
176842310,49.3715,-35.1596,16.56,G08036
651265079,46.0957,-36.7766,18.66,G08036
651319301,51.6905,-34.4403,20.34,G08088;G08036
651363428,47.8789,-31.8809,16.3,G08036;G08079;G08079;20SECONDTARGET
651376672,46.0553,-29.8108,19.36,G08036
651438681,43.214,-30.6286,20.09,G08036
65416162,40.9608,-29.2108,16.56,G08036
632339626,38.4021,-27.1686,17.77,G08036
632344692,39.4177,-25.5671,19.51,G08036
632355016,35.4077,-26.3311,19.4,G08036
632360043,33.6695,-26.9338,19.84,G08036
64107454,39.7912,-22.3578,19.82,G08036
651485884,46.1511,-25.2098,18.8,G08036
651520044,43.9089,-22.7842,17.05,G08036
651794748,43.3914,-20.7978,18.63,G08036
65414117,40.6449,-28.0455,18.09,G08036
439498608,22.2192,-23.6625,17.01,G08036;G08146
632112445,20.4676,-33.9377,18.29,G08036
632185829,25.49,-27.8879,20.2,G08036
632190921,29.9201,-28.1779,18.84,G08036
632244836,26.1156,-23.0315,20.0,G08036
632251951,21.5368,-23.7768,19.23,G08036
632460795,26.5145,-22.8017,19.77,G08036
