# TESS Program G09041

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 108 targets observed (2 min: 63, 20 s: 14)
632190921,29.9202,-28.1779,18.84,G09041
36756798,40.679,-11.7794,17.31,G09041;G09102;G09166;20SECONDTARGET
408156736,35.0441,-12.8706,19.01,G09041;G09016;G09017
632531930,33.4357,-15.0611,19.03,G09041;G09016
632589124,38.3391,-10.7846,19.15,G09041
29856469,24.2543,-9.2102,17.88,G09025;G09041
610604570,18.5431,-9.1922,20.12,G09041
630025862,23.0116,-10.7327,20.17,G09041
630055847,30.2178,-9.4088,17.14,G09041;G09102;G09166
439498608,22.2192,-23.6625,17.01,G09041;G09102;20SECONDTARGET
610181807,19.2674,-17.9395,17.92,G09041
632462806,25.6056,-22.2669,18.07,G09025;G09041
144598510,53.0193,-25.9487,17.77,G09041
144622139,53.8695,-25.7394,16.38,G09025;G09041;G09102;G09123;20SECONDTARGET
166713218,55.7886,-31.7518,17.86,G09041
651319301,51.6905,-34.4403,20.34,G09025;G09041
121106998,57.7335,-20.8045,14.12,G09041
139680713,66.1717,-20.1201,11.71,G09041;20SECONDTARGET
279483438,58.5429,-16.8813,17.24,G09041;G09102;G09166;20SECONDTARGET
332644133,62.6343,-16.6347,17.8,G09041
651776046,58.4376,-11.9765,18.5,G09041
686467936,66.4798,-19.7587,19.66,G09041
686512970,62.8573,-15.3901,19.11,G09041
686518213,60.4744,-14.6778,18.23,G09041
71013469,65.6589,-13.3586,16.89,G09041
651922105,46.3973,-9.3348,19.6,G09041
137884253,48.5563,-22.5957,18.19,G09041;G09016;G09017
632344692,39.4177,-25.5671,19.51,G09041
651363428,47.8789,-31.8809,16.3,G09041
651438681,43.214,-30.6286,20.09,G09041
651520044,43.9089,-22.7842,17.05,G09041;G09102;20SECONDTARGET
651794748,43.3914,-20.7979,18.63,G09041
65414117,40.6449,-28.0455,18.09,G09041
189012795,79.0861,-16.5599,15.23,G09041;20SECONDTARGET
398792541,72.2612,-18.6915,17.51,G09041
170699102,67.9149,-30.2539,17.04,G09025;G09041
671060359,79.0822,-28.0512,18.29,G09041
100509149,85.8365,-34.888,17.39,G09025;G09041;G09102;20SECONDTARGET
201433128,92.5246,-34.1012,14.86,G09041
31051091,80.3405,-28.0929,15.88,G09041
31118078,81.2419,-28.5037,18.57,G09041
706688289,85.37,-25.4542,17.42,G09041
708560763,81.3581,-21.4872,18.99,G09041
142523214,103.1966,-14.3571,16.61,G09041
147178211,104.5244,-17.74,16.08,G09041
172467837,100.1985,-24.387,14.96,G09041;G09102;20SECONDTARGET
322897154,101.3207,-15.5848,14.08,G09041;20SECONDTARGET
322899410,101.3217,-16.8595,13.11,G09041
48621773,96.7478,-24.9211,17.1,G09041
707208969,97.0336,-22.2453,15.85,G09041;20SECONDTARGET
49614493,95.4614,-29.145,15.79,G09041;20SECONDTARGET
49707471,95.9167,-26.964,12.5,G09041;20SECONDTARGET
705850776,97.0559,-29.6195,18.05,G09041
706000659,93.8695,-28.4728,17.43,G09041
738412405,98.553,-32.9971,20.6,G09041
743819583,101.387,-28.5421,15.62,G09041
778126740,104.2764,-31.991,19.28,G09041
128898689,118.5649,-24.3268,15.39,G09041
782321737,119.2354,-23.2661,17.83,G09025;G09041
259217117,113.5774,-17.1074,17.52,G09025;G09041
334061567,116.5713,-16.191,14.16,G09041
5236342,112.5123,-19.4983,15.75,G09041
81737290,107.1142,-21.0698,15.28,G09041;20SECONDTARGET
