# TESS Program G08071

Title: Constraining Stellar Ages With Flare Frequency

PI: Van-Lane, Phil - University Of Toronto

Type: LARGE

Summary: We are seeking 2-minute cadence light curves for 489 targets having TESS magni- tudes of 5-17. The targets are main sequence (MS) stars of spectral types F to M. With the requested light curves we will compile a flare catalog for these targets, and characterize their flare frequency distributions (FFDs). We will use the FFD parameters, in conjunction with previously measured rotation periods, to constrain the joint evolution of rotation and flaring in FGKM stars and improve age inference models. The ages of low mass MS stars have historically been difficult to estimate, so a more precise age inference framework will be valuable for informing both stellar and exoplanet evolution models.


# Sector 097 targets observed (2 min: 26, 20 s: 0)
382529142,117.7947,-61.143,16.09,G08071
382529144,117.7889,-61.1415,15.0,G08071;G08137
382575683,118.1193,-61.1009,16.77,G08071
382575759,118.209,-61.0008,15.49,G08071
382575852,118.2113,-60.9048,15.88,G08071
382575864,118.2497,-60.8913,15.66,G08071
382575905,118.2607,-60.8405,14.95,G08071;G08137
382575951,118.2523,-60.8025,15.7,G08071
382575977,118.2929,-60.7777,16.27,G08071
382576068,118.299,-60.6941,15.95,G08071
382577777,118.5264,-60.7309,14.68,G08071;G08137
382577807,118.5068,-60.758,16.39,G08071
382577823,118.5152,-60.7761,16.26,G08071
382577844,118.5485,-60.7999,13.11,G08158;G08071;G08137
382577871,118.5336,-60.827,16.5,G08071
382578010,118.5551,-60.9533,16.18,G08071
382578027,118.3377,-60.9702,15.78,G08071
382578098,118.3401,-61.0369,16.05,G08071
382578162,118.4876,-61.1036,16.63,G08071
382578167,118.5031,-61.1072,16.71,G08071
382631141,118.5981,-61.2439,16.18,G08071
382631439,118.5882,-60.9702,16.11,G08071
382631603,118.5783,-60.8489,16.16,G08071
382631711,118.5716,-60.7743,16.21,G08071
410449472,117.9859,-61.1594,16.43,G08071
410450006,117.9726,-60.6339,15.64,G08071

# Sector 098 targets observed (2 min: 34, 20 s: 0)
397046970,71.579,3.6364,9.63,G08046;G08071;G08137
293696773,77.0648,15.3772,13.85,G08046;G08071;G08137
303760478,75.7824,13.7305,8.3,G08046;G08071
408077437,77.831,7.9089,10.04,G08046;G08071;G08137
245786953,66.9003,15.589,6.9,G08046;G08071
245787510,66.9467,14.4176,8.65,G08046;G08071
245823190,67.819,15.0032,14.6,G08046;G08103;G08071;G08137
245835422,68.2485,15.8188,7.99,G08046;G08071
245858485,68.3633,13.0453,11.13,G08046;G08071;G08137
245863402,68.6348,15.8274,8.85,G08046;G08071
245863570,68.6479,15.5044,7.36,G08046;G08071
245870883,68.9528,13.2879,12.35,G08046;G08158;G08071;G08137
245873351,69.0227,15.6838,8.6,G08046;G08071
245905701,69.5447,15.8213,13.07,G08046;G08158;G08071;G08137
245937103,69.9631,12.7284,9.01,G08046;G08071
245949052,70.3706,12.0092,10.96,G08046;G08158;G08071;G08137
373027194,66.9428,11.7363,6.97,G08046;G08071
399697011,73.1,10.7194,10.93,G08046;G08158;G08071;G08137
432613905,74.4914,14.4518,13.05,G08046;G08071;G08137
434230605,63.6077,14.6249,7.83,G08046;G08071
434234748,63.7942,14.3983,10.11,G08046;G08071;G08137
435880145,64.368,14.9009,12.04,G08046;G08158;G08071;G08137
