TICID,RA,Dec,Tmag,Keywords
8995204,355.1292,-11.0214,12.45,G07096;G07066
204291257,345.1407,-23.9553,9.61,G07096;20SECONDTARGET
281669973,10.6445,-54.119,7.75,G07096;20SECONDTARGET
469915806,350.3931,-53.1783,8.98,G07009;G07096
100103200,24.6797,-45.2426,8.69,G07066;G07096;20SECONDTARGET
100103201,24.6812,-45.2469,8.89,G07066;G07096
80510448,12.8622,-43.5904,8.91,G07009;G07096
118586897,10.8029,-37.9834,7.26,G07066;G07096;20SECONDTARGET
238198520,57.3448,-75.1657,12.26,G07036;G07096;G07096
238198525,57.4127,-75.1785,11.14,G07036;G07096;G07096
238227682,58.8529,-74.7782,12.01,G07036;G07096
31798927,51.0685,-70.9848,11.13,G07036;G07096
31929204,54.1729,-69.1984,11.28,G07036;G07096;G07096
31929205,54.184,-69.2006,11.09,G07036;G07096;G07096
31961121,54.8399,-68.0661,12.6,G07036;G07096
31961123,54.8482,-68.0645,12.15,G07036;G07096
31999341,55.9586,-68.5715,10.8,G07036;G07077;G07096;G07096
32032672,56.0221,-68.5124,11.43,G07036;G07077;G07096;G07096
32032862,56.1708,-67.8853,12.58,G07036;G07096
32032865,56.1395,-67.874,12.06,G07036;G07096
32052607,57.3142,-67.9925,11.02,G07036;G07096
32052608,57.3188,-67.9921,10.36,G07036;G07096
33715210,60.8373,-72.336,10.2,G07036;G07077;G07096
650140832,58.8509,-74.7779,12.66,G07036;G07096
237923291,57.3259,-63.9194,11.78,G07036;G07096
237927164,57.9957,-65.8155,11.03,G07036;G07096
237927165,57.9988,-65.8153,12.69,G07036;G07096
237930237,58.3626,-65.249,11.8,G07077;G07096
38507951,62.1995,-62.3815,11.82,G07036;G07096
38507963,62.1697,-62.4121,11.45,G07036;G07077;G07096
650429705,57.3271,-63.9197,12.05,G07036;G07096
149180076,81.7763,-65.5512,11.09,G07036;G07096
149180088,81.7685,-65.5566,10.6,G07036;G07096;G07096
149274312,83.1239,-62.7581,10.27,G07036;G07096
149302338,83.2191,-61.3464,12.56,G07036;G07096
149302339,83.2206,-61.3477,12.68,G07036;G07096
149449385,85.0131,-62.8795,12.17,G07036;G07096
149449388,85.018,-62.8767,12.38,G07036;G07096
29781832,64.9991,-66.3541,11.9,G07077;G07096
309659124,79.5084,-60.6881,10.75,G07036;G07096
309659126,79.5065,-60.69,10.11,G07036;G07071;G07096
350345733,84.7217,-56.458,11.41,G07036;G07096
358806516,72.4559,-60.7481,10.49,G07036;G07096
358806522,72.4694,-60.7308,12.01,G07036;G07096
382101389,80.0418,-55.9731,12.03,G07036;G07096
38609671,64.9509,-65.4549,11.21,G07036;G07096
38609673,64.9534,-65.4548,11.39,G07036;G07096
38696111,65.9475,-60.1604,11.34,G07036;G07096
38761335,67.2023,-65.0122,10.86,G07036;G07096
55363479,76.9875,-64.8964,11.43,G07036;G07096
55650170,73.8468,-63.4508,10.24,G07036;G07096
55755223,75.1252,-62.6376,11.01,G07036;G07096
55780996,75.4853,-60.5118,9.72,G07036;G07096
734531490,84.7203,-56.4576,12.51,G07036;G07036;G07096
734603429,80.0402,-55.9727,11.05,G07036;G07036;G07096
141025090,79.0004,-72.231,9.62,G07036;G07096
141185142,81.4473,-74.4217,11.4,G07036;G07096
141709237,90.6039,-76.5441,10.82,G07036;G07096
141941708,95.0023,-75.7606,10.67,G07036;G07096
141941710,95.0366,-75.7624,11.42,G07036;G07077;G07096
179583882,80.5457,-69.7648,9.48,G07036;G07096
294929894,72.3094,-69.6114,12.15,G07036;G07096
294929896,72.2992,-69.6102,11.06,G07036;G07096
29832209,66.4441,-69.9936,7.26,G07036;G07096;20SECONDTARGET
30034266,73.0377,-70.8533,12.21,G07036;G07096
30034268,73.0014,-70.8534,11.82,G07036;G07096
33877401,65.8974,-76.7207,10.65,G07036;G07077;G07096;G07096
33877402,65.9519,-76.7196,10.75,G07036;G07096;G07096
41361145,92.4114,-71.1647,11.55,G07036;G07096
41361147,92.4085,-71.166,11.64,G07036;G07096
41529304,93.7701,-68.0681,10.81,G07036;G07096
41529307,93.6704,-68.07,11.89,G07036;G07096
167305688,98.1767,-66.2704,10.34,G07036;G07096
167305689,98.1733,-66.2706,10.2,G07036;G07096
167417695,99.7866,-69.6571,11.49,G07036;G07096
167419169,99.7489,-67.2224,10.54,G07036;G07096
167422188,99.8445,-69.5684,10.86,G07036;G07096
167888669,105.1122,-64.5703,10.2,G07036;G07096
167888675,105.1382,-64.5741,10.56,G07036;G07096
177079273,103.2263,-67.6133,12.21,G07036;G07096
177079274,103.2306,-67.6125,11.78,G07036;G07096
177170633,104.6847,-69.322,11.71,G07036;G07096;G07096
177170648,104.6474,-69.3273,12.3,G07036;G07096;G07096
271808981,112.0602,-73.6616,11.98,G07036;G07096
271808983,112.0566,-73.6615,11.7,G07036;G07096
300561381,112.9141,-66.7146,11.0,G07036;G07096
306896251,122.2043,-70.7322,11.1,G07036;G07096;G07096
307365390,125.5277,-66.5738,10.73,G07036;G07096
307490251,126.1587,-70.1598,8.89,G07036;G07096
349154302,108.2092,-61.8453,11.35,G07036;G07036;G07096
349376367,110.199,-64.3354,11.98,G07036;G07036;G07096
349409296,110.3278,-62.6638,11.22,G07036;G07096
349409297,110.3287,-62.663,11.21,G07036;G07096
349683698,112.5468,-63.4348,10.72,G07036;G07036;G07096
349831092,113.5891,-62.9083,11.21,G07036;G07096
349831145,113.6158,-62.9641,12.18,G07036;G07096
350092591,114.9379,-62.3787,11.48,G07036;G07096
350092592,114.9404,-62.379,11.94,G07036;G07096
382519050,117.5078,-65.7671,12.34,G07036;G07096
382519052,117.5152,-65.7692,12.49,G07036;G07096
410446521,117.8894,-64.5691,11.78,G07036;G07096
765165617,117.8904,-64.5698,12.74,G07036;G07096
765326000,110.1994,-64.3351,12.54,G07036;G07096
765444984,108.2097,-61.8447,11.38,G07036;G07096
765561909,112.5464,-63.4351,10.9,G07036;G07096
150391195,96.6587,-63.1513,11.03,G07036;G07096
167554037,101.0034,-60.308,12.72,G07036;G07096
167554039,101.0056,-60.3079,11.92,G07036;G07096
260369147,95.2023,-57.0272,10.1,G07036;G07096
278775329,99.728,-55.6771,10.31,G07036;G07077;G07096
278990528,101.9468,-58.8387,12.11,G07077;G07096
293971911,106.7303,-57.9683,11.96,G07036;G07096;G07096
293971913,106.7569,-57.9706,11.65,G07036;G07096;G07096
350744311,88.8988,-55.9311,11.43,G07036;G07036;G07096
350858673,90.2301,-54.8985,11.41,G07077;G07096
350933090,90.7713,-59.1007,12.86,G07036;G07096
350933091,90.7779,-59.1013,11.02,G07036;G07096
734548584,88.8992,-55.9311,11.56,G07036;G07096
737165370,96.6597,-63.1509,12.22,G07036;G07096
