TICID,RA,Dec,Tmag,Keywords
137872682,230.7516,-53.5206,9.66,G08085
299377596,240.1058,-51.1198,7.73,G08085
313907706,225.4359,-52.7031,9.05,G08085
413885551,232.0981,-54.1225,10.02,G08085
46218875,230.5341,-54.5272,10.06,G08085
125857387,256.7609,-47.0032,7.82,G08085
211832868,255.0441,-53.266,9.68,G08085
224999504,246.9051,-44.1919,10.35,G08085
245999208,252.5099,-42.6026,9.77,G08085
246545297,252.9049,-44.9627,10.76,G08085
6631253,246.6557,-50.7137,9.33,G08085
255532033,240.5495,-44.713,10.34,G08192;G08085
442829369,238.9274,-33.1101,8.97,G08085
464765603,244.2908,-38.6816,9.47,G08085
95731445,243.5372,-30.6376,10.01,G08085
335314692,226.2013,-43.3672,10.16,G08085
387107961,283.9092,-62.4809,9.89,G08085
172044456,255.5819,-55.9288,9.1,G08085;G08119
260916811,259.0248,-52.8887,9.63,G08085
303142114,262.0234,-49.4988,10.22,G08085
380161624,257.5063,-57.974,10.24,G08085
422641277,233.9795,-62.585,11.02,G08085
327785134,312.5154,-75.9102,8.63,G08085;G08158
396170777,298.8791,-71.2613,9.62,G08085
144000467,336.264,-53.8114,8.23,G08085;G08028;G08058;G08030
201176965,357.9242,-53.0001,11.14,G08085
102069549,17.3931,-46.2656,7.96,G08085
